number,q1.1,q1.3,q1.9
10908,2,1,4
10910,2,2,4
10911,4,4,5
10912,2,1,6
10913,1,1,5
10918,2,1,4
10921,2,1,4
10926,4,3,6
10929,3,3,6
10930,2,1,4
10943,3,2,6
10946,3,2,6
10949,3,3,5
10953,3,2,6
10954,2,2,6
10955,3,2,6
10956,2,2,6
10958,4,3,4
10959,4,3,4
10965,1,3,6
10966,2,1,4
10968,3,1,6
10970,2,2,5
10971,2,1,4
10977,2,1,4
10978,5,4,5
10980,3,3,6
10981,3,4,5
10986,2,1,4
10988,1,3,6
10989,3,4,5
10996,6,4,6
10998,2,1,4
11001,2,2,6
11007,3,2,6
11017,4,4,5
11018,3,3,5
11019,2,1,3
11020,4,3,6
11023,4,3,5
11024,1,3,4
11025,1,1,3
11027,3,3,6
11032,1,1,3
11035,1,1,3
11036,4,4,5
11038,2,3,5
11039,1,1,3
11041,4,4,4
11043,4,4,4
11044,2,3,4
11045,3,4,5
11046,1,1,3
11048,4,4,5
11049,4,3,4
11052,3,3,4
11053,1,1,3
11060,3,3,5
11068,3,2,4
11071,4,3,5
11073,4,4,4
11075,6,4,6
11077,1,2,2
11081,4,2,4
11085,4,2,4
11087,4,3,5
11092,1,1,3
11100,3,3,3
11105,1,3,2
11107,1,1,3
11113,4,3,6
11114,1,1,3
11116,1,1,3
11120,1,3,6
11123,1,1,3
11126,4,3,4
11127,2,2,6
11128,1,1,3
11129,3,3,6
11130,1,2,5
11131,1,2,6
11132,1,3,5
11133,2,3,4
11135,3,2,6
11136,2,2,6
11137,3,4,6
11138,2,3,6
11144,1,4,5
11145,2,1,6
11146,4,1,6
11147,1,1,5
11148,4,2,6
11149,1,3,5
11150,1,1,5
11151,4,2,6
11153,4,2,6
11155,4,2,6
11156,2,3,5
11157,3,1,6
11158,1,1,5
11159,1,3,6
11160,1,1,5
11163,2,1,6
11164,1,3,5
11165,2,2,6
11168,1,1,5
11169,1,1,3
11170,1,3,5
11171,1,1,5
11172,3,3,6
11173,4,4,4
11174,1,1,5
11175,4,4,5
11177,2,1,5
11178,1,1,5
11179,5,2,5
11180,3,2,6
11182,1,1,5
11183,1,1,5
11187,1,3,5
11188,2,2,2
11193,3,2,4
11194,5,1,5
11195,4,1,4
11200,1,1,3
11201,1,1,5
11203,1,1,5
11204,1,1,3
11205,1,1,5
11206,1,1,3
11207,1,1,5
11209,1,1,5
11213,3,2,4
11214,3,1,5
11216,4,2,5
11218,6,4,5
11219,4,2,4
11221,3,1,4
11222,1,1,3
11225,3,2,6
11227,4,2,5
11228,6,1,2
11229,4,1,3
11232,4,4,5
11233,1,1,5
11234,3,2,6
11235,4,4,5
11236,4,2,6
11237,1,1,5
11238,2,1,6
11240,4,1,6
11241,1,1,5
11242,5,1,2
11243,1,1,5
11244,5,4,5
11245,1,1,5
11246,1,3,5
11247,4,1,2
11248,1,1,5
11250,3,1,1
11251,4,2,6
11252,4,2,5
11253,2,1,6
11254,2,1,6
11257,5,4,5
11258,2,1,6
11260,4,4,5
11262,6,4,5
11265,4,1,6
11267,5,4,5
11268,2,1,6
11269,1,1,6
11270,1,1,6
11271,1,1,6
20002,3,3,5
20003,5,3,5
20004,3,3,4
20005,4,2,5
20006,4,3,5
20007,1,4,4
20008,4,3,6
20009,4,4,4
20010,3,3,4
20011,3,3,4
20013,5,3,4
20015,5,3,4
20016,4,3,4
20017,6,3,4
20018,4,3,4
20020,3,3,4
20021,5,2,4
20023,4,2,5
20025,5,3,4
20031,4,3,4
20032,6,3,4
20033,2,2,5
20034,5,2,6
20035,5,2,4
20036,2,2,6
20037,4,2,5
20038,1,2,5
20039,4,2,4
20041,3,4,4
20042,6,3,5
20043,1,2,2
20044,5,3,4
20045,3,4,7
20046,2,2,4
20047,5,4,4
20049,2,1,4
20050,3,3,4
20051,4,3,4
20052,6,4,4
20053,6,4,7
20055,1,3,6
20057,2,3,4
20058,1,2,6
20059,6,4,5
20061,5,3,6
20062,4,2,5
20063,1,2,3
20064,6,3,5
20065,2,2,4
20066,2,3,5
20067,3,4,5
20068,4,3,5
20070,5,4,7
20071,3,3,4
20073,4,3,3
20075,1,3,4
20076,2,3,5
20077,3,3,6
20078,4,2,4
20079,1,2,5
20080,5,3,7
20081,2,3,5
20082,3,3,4
20084,5,3,6
20085,3,3,6
20086,4,4,5
20087,1,3,4
20088,2,4,6
20090,3,3,6
20091,5,3,4
20092,3,3,5
20093,2,3,6
20094,2,2,6
292,5,1,6
293,3,3,5
297,6,3,7
298,3,2,5
299,4,1,7
300,6,4,7
301,3,3,5
302,3,3,7
313,4,4,4
314,5,1,7
317,3,3,6
321,4,2,5
325,4,3,5
328,5,3,6
334,4,1,5
335,3,1,5
336,4,3,5
400,1,2,5
403,2,3,6
406,1,3,5
408,6,4,7
409,6,4,7
488,3,3,6
494,1,3,6
536,5,3,7
539,3,2,6
541,4,4,6
542,3,4,6
546,3,3,6
554,6,4,7
558,4,3,6
565,5,3,6
567,6,3,6
572,6,4,7
575,6,4,7
580,4,3,6
584,4,4,6
591,4,4,6
596,4,3,6
599,6,4,6
600,4,3,6
1363,4,3,6
1370,4,3,5
1387,3,3,5
1828,6,4,7
1915,4,4,7
1968,1,3,6
2055,1,3,5
2063,1,3,4
2065,4,3,7
2086,3,4,6
2105,4,4,6
2128,3,3,6
2226,1,2,7
2262,1,3,7
2269,4,4,6
2296,1,3,7
2302,4,4,6
2799,3,1,6
2807,1,1,6
2827,4,4,6
2832,4,1,6
2844,4,1,7
2995,3,1,6
2998,1,3,6
3010,1,1,6
3015,4,4,7
3030,1,1,6
3040,4,3,7
3050,4,4,6
3059,4,4,6
3069,2,3,5
3076,3,1,7
3083,3,1,6
3129,1,2,5
3151,5,4,7
3165,1,1,6
3354,5,1,6
3373,3,4,6
3375,3,2,6
3379,4,3,6
3383,4,3,6
3400,1,2,6
3413,1,2,5
3415,1,2,6
3423,1,1,6
3427,1,1,5
3431,1,1,5
3489,3,3,6
3501,2,1,6
3504,4,3,6
3513,4,3,6
3518,2,1,6
3526,2,1,6
3537,1,3,4
3538,4,3,6
3539,2,1,7
3549,1,1,5
3553,3,3,7
3557,4,3,6
3563,4,3,6
3568,3,3,6
3574,3,1,5
3580,2,1,7
3582,2,1,5
3585,4,2,6
3589,2,1,5
3590,3,3,6
3591,4,3,6
3594,3,1,5
3598,3,3,6
3601,3,3,5
3607,6,3,6
3608,4,3,5
3609,2,1,7
3613,4,1,6
3618,1,1,6
3624,3,1,6
3626,3,3,6
3632,3,3,5
3634,2,1,5
3640,6,3,6
3641,3,1,5
3642,4,3,6
3643,4,3,6
3646,4,3,6
3650,3,2,6
3651,4,3,6
3658,1,1,5
3660,2,2,5
3668,3,2,5
3681,2,1,6
3688,2,1,6
3695,2,1,6
3700,2,1,6
3704,3,1,5
3711,2,1,5
3714,4,3,6
3732,4,3,6
3735,4,3,6
3738,3,3,6
3748,6,2,5
3755,4,3,5
3767,4,2,6
3768,1,3,6
3770,4,3,6
3772,4,3,6
3776,1,1,6
3777,5,3,6
3783,3,3,5
3800,4,3,6
3802,3,2,7
3808,1,1,6
3810,5,4,6
3813,4,3,6
3815,4,3,6
3816,4,3,6
3817,4,3,6
3818,4,3,6
3819,5,3,6
3821,2,2,5
3822,3,2,5
3825,6,3,6
3827,2,2,6
3832,3,3,7
3833,1,2,6
3834,5,3,6
3837,4,4,7
3838,4,3,6
3842,4,3,6
3845,1,2,5
3854,3,4,6
3856,3,4,7
3857,3,3,6
3858,2,2,5
3860,4,4,7
3862,4,4,7
3865,2,2,5
3866,3,3,6
3867,3,3,6
3873,3,1,5
3875,2,2,6
3884,2,2,5
3888,4,4,7
3893,2,2,6
3901,3,1,6
3905,2,3,5
3908,2,2,5
3911,2,2,6
3912,3,1,6
3914,2,2,5
3918,3,1,6
3920,2,2,6
3925,1,2,5
3930,2,2,5
3935,3,3,6
3937,1,2,6
3944,1,2,6
3949,2,2,5
3954,2,2,5
4000,3,3,6
4007,3,2,5
4011,3,2,6
4016,4,3,5
4542,3,4,5
4550,3,3,5
4556,3,2,5
4562,3,1,6
4563,3,2,6
4572,3,2,6
4580,3,3,6
4582,3,2,6
4617,2,2,6
4625,3,2,6
4626,1,1,5
4633,2,2,5
4641,3,3,6
4647,3,2,6
4649,3,3,6
4703,1,2,5
4704,3,3,6
4710,3,3,6
4712,2,2,5
4725,1,3,5
4729,1,1,5
4738,4,4,5
4739,4,3,5
4744,3,2,5
4745,4,3,5
4754,3,2,5
4755,3,3,6
4763,1,3,5
4779,3,3,5
4782,3,3,5
4785,3,3,6
4787,1,3,6
4792,3,2,6
4796,2,3,6
4842,3,2,6
4848,1,1,6
4876,1,2,6
4877,6,4,6
4897,3,3,6
4898,1,2,6
4906,3,3,5
4907,2,3,6
4918,4,4,5
4919,1,2,6
4927,2,3,6
4932,1,2,5
4942,2,3,6
4945,3,3,6
4957,3,3,6
4958,2,3,6
4969,2,1,6
4970,3,2,6
4985,2,1,6
4988,2,3,5
5000,2,2,6
5003,1,3,6
5012,1,3,5
5015,3,3,6
5016,2,4,5
5020,4,4,6
5041,3,3,6
5045,6,4,5
5052,3,3,6
5056,1,1,6
5063,6,4,4
5068,1,3,6
5074,4,3,4
5076,3,3,6
5086,3,3,6
5087,2,3,5
5103,3,3,6
5105,5,3,5
5109,1,3,6
5115,1,3,5
5117,3,1,4
5119,3,3,6
5225,3,3,6
5230,3,3,5
5238,4,2,6
5259,1,1,5
5266,4,3,6
5281,4,3,4
5290,3,3,5
5299,1,1,5
5307,1,1,6
5319,2,3,6
5327,4,3,5
5486,3,3,4
5496,4,3,6
5505,4,3,6
5529,5,3,6
5533,1,3,5
5538,3,3,6
5545,4,3,5
5549,4,3,6
5552,4,3,6
5556,5,3,6
5563,4,2,6
5564,4,1,6
5567,1,1,6
5568,3,3,6
5575,3,3,6
5582,5,4,6
5583,2,2,6
5584,5,3,6
5597,1,2,6
5599,4,3,7
5602,3,3,6
5606,6,3,7
5609,3,1,7
5612,1,1,6
5613,6,3,6
5617,3,3,6
5620,3,3,6
5627,3,3,6
5631,6,3,6
5632,5,4,6
5643,3,1,6
5644,5,3,6
5645,6,4,7
5648,3,1,6
5652,3,2,6
5656,2,3,5
5658,2,1,6
5660,3,3,6
5661,3,2,7
5662,3,3,6
5670,3,3,6
5674,6,3,6
5679,1,2,6
5690,3,1,6
5699,2,1,5
5703,3,1,5
5713,3,1,5
5778,3,1,6
5781,3,3,6
5789,5,3,5
5791,3,2,6
5796,1,2,6
5797,5,3,6
5798,3,2,6
5800,3,1,4
5803,3,3,6
5804,3,1,6
5806,3,3,5
5812,3,1,6
5813,3,1,6
5819,3,3,6
5823,3,3,6
5828,3,3,5
5829,4,3,6
5835,3,3,6
5852,4,3,6
5857,4,3,4
5863,1,1,5
5871,3,3,6
5874,3,3,5
5884,4,4,4
5887,2,2,6
5889,3,3,6
5891,3,3,6
5901,4,3,5
5906,3,4,5
5913,5,4,6
5924,5,4,5
5925,3,3,6
5937,1,2,5
5951,3,3,6
5966,1,2,6
5974,6,4,6
5978,2,3,5
5991,3,2,6
6035,1,2,5
6177,3,3,6
6185,3,3,6
6192,3,3,6
6197,5,3,6
6200,2,2,6
6202,6,4,6
6212,3,3,6
6217,2,3,6
6229,3,3,6
6257,2,2,6
6504,2,3,5
6508,1,3,5
6515,2,3,5
6530,2,3,6
6534,3,3,6
6537,1,3,5
6540,1,2,6
6549,3,3,5
6555,2,3,6
6568,3,3,6
6579,2,2,6
6589,1,2,6
6732,1,3,6
6789,4,1,6
6805,3,1,7
6810,1,2,7
6848,2,3,5
6858,2,3,5
6885,1,3,5
6893,4,1,6
6923,2,3,5
6924,4,4,6
6935,2,3,5
6983,2,3,5
6999,2,3,5
7015,4,2,6
7026,3,3,6
7316,3,3,6
7532,1,2,5
7533,2,3,5
7538,2,3,5
7539,1,2,5
7604,3,3,6
7615,3,3,6
7626,3,3,5
7638,1,3,5
7647,3,2,7
7658,1,3,6
7667,3,3,5
7672,1,1,6
7678,1,2,5
7689,4,3,6
7704,1,1,6
7717,1,2,5
7820,2,3,6
8128,3,3,6
8160,4,4,6
8180,1,2,5
8235,1,2,5
8242,5,3,6
8259,4,3,6
8273,1,2,5
8288,5,4,6
8308,4,4,6
8327,6,2,5
8677,3,4,6
8688,1,2,6
8708,5,4,6
8732,4,2,5
8748,4,4,6
8761,3,3,5
8773,5,4,6
8794,3,4,5
8799,4,3,6
8801,5,3,6
8888,3,3,5
8893,4,4,6
8901,4,3,6
8903,3,4,6
8911,5,4,7
8915,2,3,5
8927,6,4,6
8934,5,4,6
8944,1,4,6
8950,4,3,6
8953,5,3,6
8959,4,3,6
8964,5,4,7
8967,6,3,6
8982,4,3,5
8983,3,3,5
8994,3,3,6
8995,2,3,6
8996,3,2,5
9002,3,3,6
9003,3,3,5
9012,3,2,5
9014,4,3,6
9016,6,3,6
9017,3,2,5
9020,3,3,5
9025,3,3,5
9033,4,3,6
9039,3,4,6
9044,3,3,5
9049,3,3,6
9050,1,1,6
9052,4,4,6
9056,2,3,4
9057,1,3,5
9065,3,3,5
9070,4,4,6
9071,2,3,5
9072,1,2,6
9075,5,3,6
9076,3,3,6
9082,3,2,5
9086,4,3,6
9106,2,3,5
9274,3,3,6
9278,5,3,5
9281,1,1,6
9287,4,3,6
9293,3,1,6
9297,3,3,6
9300,3,4,5
9303,4,3,5
9312,3,3,6
9313,1,1,6
9314,4,4,6
9318,3,3,6
9323,5,4,6
9354,3,1,6
9361,4,3,6
9372,6,4,7
9392,6,3,7
9438,4,3,6
9461,4,4,6
9470,3,3,7
9502,6,3,7
9509,1,2,6
9530,4,3,6
9537,6,3,6
9544,3,1,5
9685,4,4,5
9694,3,3,5
9742,4,4,6
9756,3,4,6
9766,3,4,6
9776,5,3,7
9802,5,4,6
9825,3,4,5
9836,4,4,5
9853,4,2,5
9879,4,3,6
9938,3,3,6
9944,4,3,6
9951,3,3,6
9954,4,4,6
10025,3,4,6
10224,5,3,5
10595,4,3,6
10597,4,2,6
10600,4,3,6
10612,2,3,6
10620,3,1,4
165,2,4,4
173,6,4,7
215,6,3,5
219,1,3,5
236,4,3,4
242,1,2,4
282,5,3,4
294,4,2,4
333,2,3,4
338,1,1,4
344,4,1,5
347,1,1,5
355,1,1,4
356,3,3,4
358,3,1,4
359,1,1,4
362,5,4,4
364,1,1,4
365,4,2,6
366,5,4,4
368,5,4,4
372,5,2,7
380,1,2,4
383,1,2,4
384,2,2,4
385,3,1,4
387,2,2,4
396,1,2,4
398,1,1,4
402,1,2,4
404,1,1,4
457,1,1,4
458,2,1,4
460,1,1,4
463,1,2,4
476,1,1,4
503,3,1,5
505,6,4,7
506,6,1,5
508,1,1,5
531,6,4,5
532,4,1,5
533,2,2,5
534,2,2,5
538,6,2,6
540,1,1,6
544,1,1,6
548,6,4,7
552,1,1,6
556,1,1,6
561,4,3,5
564,1,3,6
568,6,4,7
571,6,4,7
577,1,3,5
579,6,4,7
581,4,2,6
582,3,1,5
583,1,2,5
585,6,4,7
586,4,3,4
588,3,3,5
592,6,1,6
593,6,4,7
609,6,4,7
610,1,1,5
648,2,1,4
653,1,2,4
655,1,1,4
726,1,2,4
730,1,1,4
733,4,2,6
735,4,3,6
738,6,2,6
742,6,4,7
744,4,3,6
747,6,4,7
748,4,2,6
753,6,4,7
756,6,2,6
760,6,4,7
762,6,4,7
763,4,2,5
764,6,4,7
766,4,2,6
767,4,3,5
769,4,2,6
772,4,2,6
773,4,2,4
774,4,2,5
775,4,2,4
776,4,2,5
777,4,3,5
780,4,2,5
896,6,4,7
898,1,1,6
940,1,3,5
969,1,1,6
974,6,4,7
1205,1,2,5
1218,1,3,4
1753,1,2,4
1765,1,3,5
1772,4,3,6
2097,4,3,6
2107,3,3,5
2182,1,1,7
2198,1,1,7
2355,4,1,6
2356,1,3,5
2361,4,3,5
2411,3,3,5
2445,3,3,6
2456,1,1,7
2471,3,3,4
2478,3,3,7
2482,4,3,5
2511,3,3,5
2514,3,3,5
2518,3,2,6
2522,4,2,5
2528,4,2,6
2541,4,2,5
2542,4,2,6
3869,4,2,5
3876,4,2,6
3882,2,1,6
3886,3,3,6
3896,3,3,6
4905,3,3,6
4910,3,3,6
4920,3,3,6
4929,4,4,6
4951,1,2,5
4959,5,2,6
4961,6,2,6
4977,5,2,6
4983,3,3,6
4987,4,2,5
4991,6,2,5
4993,5,3,6
4995,4,2,5
4998,4,2,6
5013,3,3,4
5028,1,4,5
5033,3,3,6
5037,4,3,6
5047,3,4,4
5350,3,2,5
5354,5,4,5
5363,6,4,6
5869,4,3,5
5893,4,4,6
6740,5,4,6
6804,4,3,5
6856,4,4,5
6908,3,3,5
6949,4,4,6
6957,4,3,6
6972,4,3,6
6990,3,2,6
7001,3,3,6
7016,4,4,5
7025,4,3,5
7039,4,2,5
7042,1,2,5
7052,1,3,5
7054,4,3,5
7057,1,3,5
7064,4,4,5
7073,4,3,5
7091,1,3,5
7309,6,4,5
7321,5,4,5
7324,6,4,5
7334,6,4,5
7335,6,4,5
7341,3,4,4
7344,6,4,5
7348,3,3,5
7349,6,4,5
7356,3,3,5
7357,4,4,6
7358,1,2,5
7363,1,1,5
7364,3,4,5
7373,1,2,5
7374,6,3,5
7385,6,3,5
7387,4,4,5
7392,1,2,5
7395,6,4,5
7408,4,4,5
7414,3,4,5
7419,2,1,5
7423,6,4,6
7428,1,2,5
7434,5,4,4
7437,4,4,5
7439,6,4,5
7443,6,4,5
7448,3,3,5
7452,6,4,5
7454,6,4,5
7457,3,2,6
7459,6,4,5
7466,1,2,5
7471,3,4,4
7477,1,1,5
7482,3,4,5
7488,3,3,4
7494,1,2,5
7497,1,2,5
7505,3,3,4
7509,1,2,5
7520,1,1,6
7526,1,2,5
7543,1,1,5
7578,1,2,5
7589,1,2,5
7598,1,2,5
7664,6,4,5
7681,3,4,6
7691,4,4,5
7763,6,4,5
7769,5,3,5
7773,1,2,5
7779,6,4,6
7912,4,4,5
7927,5,1,4
8040,4,4,5
8045,6,4,7
8067,1,1,5
8075,3,1,6
8078,2,1,5
8084,3,1,6
8108,3,1,5
8134,1,2,5
8136,3,1,4
8166,4,3,5
8171,2,1,5
8190,3,2,4
8196,1,1,5
8206,1,2,5
8219,1,1,5
8220,2,3,5
8224,4,4,5
8231,1,3,5
8244,1,1,5
8248,1,2,5
8258,1,1,5
8263,4,4,5
8265,5,3,5
8269,6,4,5
8271,3,4,5
8281,3,1,5
8282,6,2,5
8284,1,3,4
8293,2,1,5
8296,1,1,5
8302,3,3,5
8319,6,2,5
8320,2,1,5
8321,1,1,5
8325,3,3,6
8335,3,3,4
8351,4,3,5
8352,4,3,5
8358,1,4,4
8361,6,2,5
8366,3,3,6
8376,3,3,5
8378,1,2,4
8386,6,2,5
8393,1,4,4
8481,4,3,5
8483,5,2,5
8502,5,2,5
8511,5,2,5
8515,5,2,5
8531,5,2,5
8540,5,2,5
8564,5,1,5
8573,4,2,4
8581,4,2,4
8582,4,2,5
8592,1,1,5
8595,3,2,6
8603,2,2,6
8604,4,2,5
8606,3,1,5
8608,4,2,5
8618,2,2,5
8626,3,3,4
8628,3,2,5
8634,2,3,5
8639,1,2,5
8643,6,3,5
8644,2,2,4
8653,3,1,4
8656,6,4,6
8657,3,3,5
8665,3,2,4
8672,3,1,4
8685,2,1,4
8690,3,3,5
8693,4,2,5
8695,3,1,6
8705,3,2,5
8710,3,1,5
8714,1,4,5
8717,4,3,4
8721,3,1,5
8726,2,2,5
8733,1,3,4
8742,3,1,2
8746,4,4,4
8757,1,1,6
8771,2,1,4
8772,3,1,5
8776,4,2,5
8779,4,2,5
8880,3,2,4
8898,4,2,4
8900,3,2,5
8904,4,4,5
8912,6,4,5
8969,5,3,4
8986,3,3,5
8999,2,3,5
9007,4,3,4
9010,1,3,4
9030,4,3,5
9045,5,2,5
9064,4,3,5
9079,4,2,5
9080,4,2,4
9085,3,3,4
9087,6,2,5
9091,3,4,4
9147,3,4,5
9155,3,4,4
9160,4,3,5
9165,4,3,6
9169,3,3,5
9173,6,4,5
9174,6,4,5
9177,4,3,5
9182,3,1,5
9189,4,3,4
9195,3,1,5
9200,3,3,4
9204,6,4,5
9205,6,4,5
9213,3,3,4
9220,6,4,5
9264,3,1,5
9270,4,1,5
9306,5,1,6
9309,5,2,4
9324,3,1,5
9331,2,1,5
9343,3,2,5
9357,4,4,5
9359,4,2,4
9366,4,1,6
9371,3,1,5
9382,3,4,6
9391,5,1,4
9395,4,2,4
9414,3,4,5
9437,5,1,5
9455,6,1,6
9476,5,1,6
9485,4,1,6
9489,3,1,5
9490,4,2,5
9496,3,2,5
9504,3,1,5
9520,3,1,5
9526,2,1,5
9529,3,1,5
9533,1,1,5
9540,3,1,5
9558,2,1,4
9593,2,1,4
9607,2,1,4
9608,2,1,4
9611,1,1,5
9612,2,1,4
9616,2,1,5
9617,2,3,5
9618,1,1,5
9622,2,2,6
9627,2,2,5
9634,2,3,5
9646,3,3,5
9661,5,4,4
9666,3,4,4
9671,4,4,5
9679,3,2,4
9680,6,4,7
9687,3,1,5
9695,3,1,6
9699,3,1,6
9705,3,1,5
9727,3,1,6
9729,4,1,7
9803,4,1,6
9842,4,1,7
9851,4,1,6
9920,6,4,5
10031,6,4,4
10043,3,3,5
10052,3,4,4
10054,6,4,6
10059,3,3,4
10064,3,4,4
10065,5,3,4
10071,1,3,4
10079,1,3,4
10101,5,4,4
10103,4,4,4
10108,5,4,6
10117,2,4,4
10129,1,3,4
10137,1,2,4
10204,6,4,6
10226,1,1,6
10240,5,3,4
10241,2,1,5
10244,5,3,6
10246,1,2,6
10254,1,3,6
10258,1,2,6
10262,1,1,4
10269,1,1,4
10275,1,1,4
10279,2,1,5
10292,1,1,5
10298,1,1,4
10304,1,1,4
10311,1,1,5
10316,1,1,4
10418,3,1,6
10421,1,1,5
10434,5,1,4
10439,1,3,5
10442,3,3,5
10443,3,3,5
10444,3,2,6
10445,5,3,6
10447,5,3,5
10449,1,3,5
10450,4,1,4
10451,1,3,5
10452,4,1,4
10453,2,3,5
10477,6,4,4
10485,1,1,5
389,3,3,5
392,2,3,5
410,1,3,6
411,4,3,5
422,4,1,7
423,4,3,6
426,4,3,6
433,4,1,6
434,4,3,7
464,5,2,6
499,6,4,7
500,1,3,5
617,4,1,7
618,3,2,6
619,3,2,7
649,2,3,3
659,1,3,5
662,3,3,5
680,3,3,5
695,2,2,5
723,4,3,5
727,3,2,5
768,6,3,6
770,4,3,6
781,3,3,6
783,1,2,6
787,3,3,6
791,6,4,7
797,3,3,6
799,3,2,5
803,3,1,7
860,3,2,6
863,4,1,7
868,5,2,7
899,3,3,7
900,5,2,7
901,3,1,7
903,6,4,7
948,5,2,7
952,3,1,6
958,4,1,4
961,4,1,6
1647,3,1,6
1659,4,1,7
1882,5,3,6
1886,4,3,5
2064,1,3,5
2070,4,4,6
2078,4,4,6
2095,4,4,7
2109,3,3,6
2112,1,3,5
2116,1,3,7
2121,2,3,5
2157,4,4,5
2178,2,3,5
2228,4,4,6
2230,6,4,6
2252,3,4,5
2263,3,4,6
2571,4,4,5
2573,3,3,6
2580,4,3,6
2685,2,2,6
2698,1,3,6
2703,1,2,6
2705,3,3,6
2708,2,1,6
2715,1,3,7
2725,1,3,6
2728,1,3,6
2732,3,3,6
2739,3,3,6
2782,6,4,5
2789,4,4,6
2802,3,4,6
2868,3,2,6
2878,3,4,6
2884,3,3,6
2892,1,2,6
2916,1,2,6
2943,4,4,6
3004,6,3,6
3009,4,1,7
3014,1,3,6
3108,4,3,6
3115,4,4,6
3143,3,4,5
3144,4,4,6
3148,6,4,6
3156,4,4,6
3160,1,2,6
3170,3,4,6
3182,3,3,5
3190,2,2,5
3218,1,2,5
3232,3,3,5
3235,2,2,4
3240,4,3,5
3250,3,4,6
3254,4,4,6
3257,3,2,6
3263,6,3,7
3268,6,2,6
3311,2,2,5
3317,4,4,6
3319,1,2,5
3322,2,3,6
3325,2,3,6
3326,1,2,6
3330,1,3,6
3331,3,2,6
3335,2,2,6
3339,3,4,6
3341,3,3,6
3344,4,3,6
3345,3,1,7
3346,3,4,6
3349,6,4,7
3352,4,4,5
3365,1,3,5
3368,4,3,6
3374,4,4,6
3395,2,2,5
3396,6,4,6
3399,3,4,6
3402,1,2,6
3407,4,4,4
3411,1,2,5
3418,1,2,5
3426,1,2,5
3450,2,2,5
3459,1,2,6
3464,1,2,4
3471,2,2,6
3476,2,2,4
3692,3,4,6
3764,6,3,6
3870,5,4,5
3892,3,3,6
4223,2,3,6
4269,5,4,4
4302,1,2,5
4338,2,2,6
4368,1,2,6
4390,1,3,5
4402,1,2,5
4417,1,2,5
4433,2,3,5
4505,1,3,5
4519,1,2,6
4539,3,3,6
4578,4,3,6
4622,1,3,6
4643,1,2,5
4653,1,2,6
4661,1,3,5
4675,1,2,6
4677,6,2,7
4688,2,2,6
4711,1,2,5
4721,1,3,5
4724,3,3,4
4733,1,3,5
4822,1,1,6
4826,3,3,3
4829,3,3,5
4844,1,3,6
4845,2,3,4
4847,2,2,6
4849,1,1,6
4852,3,3,6
4855,4,4,4
4865,4,2,6
4884,1,2,5
4886,6,4,6
4948,6,4,7
4968,1,2,5
4978,3,3,6
4982,1,3,4
4996,3,3,6
4999,3,3,6
5008,1,3,5
5031,3,3,7
5053,3,3,6
5064,3,3,6
5090,4,4,5
5093,3,3,6
5102,4,4,6
5113,1,3,5
5231,3,3,3
5990,4,3,6
6020,3,1,5
6396,2,3,5
6397,3,3,6
6404,1,3,6
6411,3,3,6
6416,6,3,6
6424,2,3,5
6430,2,3,6
6436,3,1,5
6441,2,3,5
6446,1,2,6
6454,4,2,6
6459,2,3,5
6463,1,2,5
6464,4,3,6
6468,3,1,6
6469,2,3,5
6471,2,3,5
6472,2,2,7
6497,2,2,5
6498,3,2,7
6583,2,2,6
6590,2,3,5
6596,2,3,5
6606,3,3,5
6611,2,3,5
6634,2,3,5
6638,2,3,5
6682,2,2,6
6685,2,3,5
6687,2,3,5
6689,2,3,5
6865,4,2,6
6876,3,4,5
6880,4,2,6
6882,3,2,5
6887,5,2,6
6894,5,4,6
6903,5,4,7
6917,3,3,5
6928,6,4,6
6938,6,3,6
8008,1,2,6
8010,3,1,6
8092,6,2,5
8094,4,1,7
8103,6,2,6
8105,4,2,4
8109,4,3,6
8111,4,1,6
8121,4,2,5
8133,6,2,6
8145,1,1,6
8223,4,2,6
8228,4,1,6
8236,4,1,6
8278,5,3,6
8287,4,2,5
8331,4,3,5
8364,2,2,6
8405,4,1,4
8411,4,1,4
8421,6,3,5
8587,4,2,5
8598,3,4,4
8607,4,2,6
8723,4,2,6
8739,4,2,5
8763,4,3,6
8785,4,2,5
9199,1,2,4
9212,4,4,6
9538,6,4,7
9542,6,4,6
9545,3,3,4
9550,4,3,6
9556,4,3,6
9660,1,1,6
9797,5,3,6
9812,4,4,5
10178,2,1,6
10198,2,3,6
10203,1,1,4
10205,4,3,6
10218,2,3,7
10221,5,3,6
10230,1,1,4
10236,4,4,4
10250,2,3,5
10265,1,1,4
10283,1,2,6
10300,6,3,6
10321,1,1,4
10326,1,1,4
10336,1,4,7
10347,3,4,6
10351,6,3,7
456,1,1,5
459,3,2,6
471,3,1,6
473,4,1,6
477,2,1,5
478,2,2,6
479,2,3,5
482,3,3,6
483,2,2,5
487,3,2,6
491,4,2,5
492,3,2,6
496,4,1,7
497,3,2,7
574,4,1,6
598,2,1,5
601,5,3,6
621,6,4,7
634,4,4,6
663,3,4,4
665,2,3,5
666,3,2,5
667,3,4,5
668,2,4,4
671,1,3,5
703,2,3,5
711,3,2,5
771,1,2,4
884,1,3,4
889,5,3,5
893,3,3,4
956,3,3,7
1104,4,2,6
1282,1,3,6
1398,4,2,5
1412,4,1,6
1538,4,1,6
1554,2,3,5
