실태조사응답자일련번호,응답자성별코드,응답자연령대코드,응답자거주지역코드
FFNSR_RSPT_CONNO,RSPT_SXDST_CD,RSPT_AGGRP_CD,RSPT_RSDNC_ARCD
2040,M,1,1
2041,F,5,3
2042,F,5,11
2043,F,4,8
2044,F,2,1
2045,M,4,2
2047,M,3,2
2049,F,3,1
2050,F,5,11
2052,F,1,1
2053,M,2,1
2055,F,2,14
2056,F,1,8
2057,F,5,2
2058,M,2,1
2059,F,1,1
2060,M,4,8
2061,F,1,1
2062,M,3,1
2063,F,5,14
2064,M,1,7
2065,M,2,14
2066,F,1,1
2067,F,2,1
2068,F,3,11
2069,M,4,1
2070,F,3,7
2071,F,5,1
2072,F,6,2
2075,M,4,1
2076,F,5,2
2077,M,1,1
2078,M,5,7
2080,F,5,1
2081,F,5,2
2082,F,3,1
2083,M,6,1
2084,M,4,1
2085,M,2,1
2086,M,4,14
2087,F,3,1
2089,F,2,1
2090,M,2,1
2091,M,6,15
2092,F,2,1
2093,F,4,1
2094,M,6,15
2095,M,3,7
2097,F,4,13
2098,M,1,1
2099,F,2,1
2100,F,6,8
2101,M,6,15
2102,M,5,1
2103,F,1,7
2104,F,2,1
2105,M,2,14
2106,F,2,1
2107,F,4,13
2108,M,1,1
2109,M,4,7
2111,F,2,1
2112,F,2,7
2114,M,5,1
2115,F,4,15
2116,F,4,7
2118,F,5,1
2120,F,4,1
2121,M,3,7
2122,M,6,3
2123,F,5,2
2125,F,2,1
2126,M,5,1
2127,M,5,14
2128,F,4,14
2129,M,3,1
2130,M,5,14
2131,F,2,1
2133,F,4,4
2135,F,5,1
2136,M,5,1
2137,F,4,1
2138,F,5,1
2140,M,3,8
2141,F,2,4
2142,M,4,1
2143,M,3,1
2144,M,5,4
2145,M,3,1
2146,F,4,1
2148,F,6,1
2149,M,4,1
2150,M,1,1
2151,M,5,1
2152,M,2,8
2154,M,4,1
2155,F,1,1
2156,M,5,4
2157,F,3,7
2158,M,1,1
2159,M,5,1
2160,F,4,1
2161,F,4,1
2162,M,3,6
2163,F,4,4
2164,M,1,1
2165,M,4,1
2166,M,2,1
2167,M,3,8
2168,F,3,1
2169,M,4,1
2170,M,1,1
2171,M,4,1
2172,F,4,1
2173,M,4,1
2174,M,4,1
2176,F,4,4
2177,M,3,6
2178,F,4,7
2179,F,4,1
2180,M,2,1
2181,F,6,4
2182,F,3,13
2184,F,4,4
2185,M,4,1
2186,M,4,1
2187,F,3,1
2188,M,2,8
2189,F,1,1
2190,M,6,8
2191,F,2,1
2192,M,2,1
2193,M,2,1
2194,F,4,1
2197,M,3,8
2198,M,3,13
2199,M,4,1
2200,F,1,1
2201,M,1,8
2203,M,1,8
2204,F,5,1
2205,M,4,1
2206,M,2,1
2207,M,3,1
2208,F,4,1
2209,F,4,8
2210,M,6,1
2211,F,3,2
2212,F,4,1
2213,M,4,1
2215,M,2,1
2216,M,3,8
2217,F,3,1
2218,F,4,8
2219,F,1,8
2220,F,5,1
2221,F,3,2
2222,F,5,1
2225,F,4,3
2226,M,2,14
2227,M,5,8
2228,M,5,7
2229,M,5,8
2230,M,5,7
2232,M,4,8
2233,M,4,1
2234,F,4,8
2235,M,4,8
2236,F,6,1
2238,F,5,8
2239,M,4,1
2240,F,3,8
2241,F,4,8
2242,F,2,8
2243,M,5,8
2244,F,4,1
2246,F,3,3
2247,M,6,3
2248,F,2,8
2249,M,5,8
2250,M,5,1
2252,M,4,7
2253,M,1,8
2254,M,1,1
2255,M,4,1
2256,F,3,1
2257,M,3,3
2259,M,1,3
2260,M,4,8
2261,F,3,1
2262,F,5,14
2263,F,4,7
2264,F,4,8
2265,M,1,1
2266,M,3,16
2267,F,6,14
2268,M,4,8
2269,F,2,14
2270,M,3,8
2271,M,6,8
2272,M,3,1
2273,F,4,1
2274,M,4,1
2275,M,3,16
2276,F,4,1
2277,M,3,1
2278,F,2,1
2279,F,6,16
2280,F,6,16
2281,F,2,11
2283,F,6,16
2284,F,4,1
2285,M,5,1
2286,F,6,16
2287,F,5,8
2288,M,2,1
2289,M,5,3
2290,M,3,3
2291,M,2,8
2292,M,5,16
2293,F,3,1
2294,M,6,16
2295,F,3,1
2296,M,4,14
2297,M,6,16
2298,M,5,3
2299,F,4,8
2300,F,3,3
2301,M,4,3
2302,M,6,14
2303,F,4,8
2304,F,3,1
2307,M,4,16
2309,F,3,3
2310,F,2,11
2313,M,5,1
2314,F,4,1
2315,F,4,3
2316,F,2,11
2317,M,4,1
2318,M,3,3
2319,M,3,8
2320,F,5,16
2321,F,1,3
2322,F,3,11
2323,F,3,3
2324,F,3,1
2325,F,6,16
2326,M,3,8
2328,M,4,3
2329,F,3,11
2330,F,3,3
2331,M,2,1
2332,F,3,11
2333,M,1,8
2334,F,5,3
2335,M,4,3
2336,M,3,16
2338,F,3,1
2341,F,3,8
2343,M,3,3
2344,F,4,16
2346,M,6,3
2347,M,5,16
2348,F,3,1
2349,F,4,1
2350,F,4,16
2352,F,5,1
2353,F,4,3
2354,F,4,3
2355,M,2,13
2356,F,2,13
2357,M,2,1
2358,F,2,1
2359,F,4,8
2361,F,3,13
2362,M,2,1
2363,M,5,1
2364,F,2,3
2365,F,4,3
2369,M,6,1
2371,F,5,3
2372,M,3,1
2373,F,5,3
2374,M,3,1
2375,F,5,1
2377,F,1,3
2378,F,6,1
2379,M,4,15
2380,F,3,1
2381,F,5,1
2384,F,4,1
2385,F,1,1
2386,F,5,3
2389,M,2,1
2391,F,3,1
2392,F,1,1
2393,M,1,1
2395,F,4,2
2396,M,4,11
2399,F,4,2
2400,F,5,1
2401,F,5,1
2403,F,5,2
2404,F,5,1
2405,M,6,1
2406,F,5,2
2407,F,6,1
2408,F,5,1
2409,F,1,3
2410,M,5,3
2411,M,5,13
2413,F,6,1
2414,F,4,1
2415,F,2,2
2416,M,3,1
2417,F,3,2
2418,M,5,1
2420,M,5,13
2421,F,3,1
2422,F,6,1
2424,F,6,2
2425,M,6,1
2426,F,2,1
2427,F,3,1
2428,F,6,1
2429,M,2,8
2430,F,4,2
2431,F,3,13
2432,M,1,6
2434,M,6,1
2435,F,6,1
2436,M,5,1
2437,F,4,2
2438,F,1,6
2439,F,6,16
2440,F,5,15
2442,M,1,1
2443,M,5,8
2444,F,5,1
2445,M,5,13
2446,F,4,1
2447,F,6,2
2448,M,3,1
2450,F,4,15
2451,M,2,1
2452,M,6,16
2453,F,4,1
2454,F,5,2
2455,F,6,1
2456,F,2,13
2457,M,1,8
2458,F,4,15
2459,M,5,1
2460,F,3,8
2461,F,5,1
2463,F,5,13
2464,M,2,1
2466,M,2,1
2467,F,5,1
2468,F,1,1
2469,M,2,8
2470,F,4,1
2471,F,5,13
2472,F,5,1
2473,F,4,1
2475,M,2,1
2477,F,1,1
2478,F,4,13
2479,F,2,8
2480,M,2,1
2482,F,2,13
2483,F,3,2
2484,M,3,1
2485,F,2,2
2486,F,4,2
2487,M,4,5
2488,M,2,5
2489,M,4,5
2490,M,4,5
2491,F,6,16
2492,M,6,16
2494,M,6,16
2496,F,5,16
2497,M,1,2
2499,F,2,2
2501,F,2,1
2502,M,2,1
2503,M,2,2
2504,M,3,2
2505,M,3,1
2506,F,5,2
2507,M,4,1
2509,M,6,1
2510,F,4,2
2511,M,3,13
2512,F,1,1
2513,M,2,2
2514,M,1,13
2515,M,1,1
2516,F,6,1
2517,F,4,1
2518,M,2,13
2520,M,2,2
2521,M,3,1
2522,M,2,13
2523,F,6,8
2524,M,4,2
2525,F,4,8
2526,F,3,1
2527,M,2,13
2528,F,4,13
2529,M,1,1
2530,F,5,1
2531,F,3,1
2533,F,5,1
2534,M,4,1
2535,M,2,1
2536,F,4,1
2537,F,2,1
2538,F,1,16
2541,M,2,13
2542,F,4,13
2543,F,1,1
2544,F,1,1
2546,F,5,1
2547,M,3,1
2549,F,2,8
2550,F,5,1
2551,F,1,1
2554,M,6,1
2556,M,4,1
2557,M,6,8
2559,F,1,8
2560,F,1,11
2561,F,1,8
2564,F,5,3
2566,F,4,1
2568,M,3,11
2569,M,2,1
2570,M,4,11
2571,F,2,7
2572,M,6,1
2573,F,2,7
2574,F,5,11
2575,F,1,1
2576,M,5,11
2578,F,6,1
2579,M,5,11
2580,F,3,7
2583,M,1,8
2586,M,4,15
2587,F,4,8
2588,F,1,1
2589,M,1,8
2590,F,3,1
2591,F,4,8
2592,M,1,1
2593,M,4,15
2594,F,3,1
2596,F,2,1
2597,F,2,3
2600,F,1,1
2602,M,6,1
2603,F,5,1
2604,M,3,1
2605,F,2,3
2606,F,2,1
2607,F,5,1
2608,M,6,1
2609,M,6,1
2610,M,2,8
2611,F,5,1
2612,M,5,1
2620,F,1,1
2621,F,1,1
2623,M,5,1
2624,F,5,1
2625,M,2,1
2626,F,4,15
2628,F,4,1
2629,M,2,15
2630,F,4,15
2631,F,4,1
2634,M,4,1
2635,F,2,1
2636,M,5,1
2637,M,4,3
2638,M,5,1
2639,M,3,1
2640,M,3,1
2641,F,3,3
2642,M,3,1
2643,M,6,1
2644,F,4,4
2645,F,3,1
2646,F,1,4
2647,M,5,1
2648,F,5,1
2649,M,1,1
2650,M,1,1
2651,M,5,1
2653,M,2,1
2654,F,4,8
2656,F,2,1
2657,F,1,1
2661,M,2,1
2662,M,1,8
2663,M,5,8
2664,M,2,1
2665,F,4,8
2666,M,3,8
2667,F,4,1
2668,M,3,1
2669,M,1,1
2670,M,3,8
2673,F,1,8
2674,F,3,1
2675,F,2,1
2676,F,1,16
2677,F,4,1
2678,F,1,16
2679,M,3,15
2680,M,6,15
2681,F,3,1
2682,M,6,1
2684,M,5,1
2685,F,2,7
2689,F,3,1
2690,F,6,15
2691,M,1,15
2692,M,4,15
2693,M,5,15
2695,M,3,8
2697,M,3,3
2698,F,6,7
2700,M,4,15
2701,F,3,1
2702,F,4,16
2703,M,6,7
2704,M,2,1
2705,F,4,7
2706,M,3,4
2708,F,5,7
2709,F,2,1
2710,M,2,1
2711,F,6,11
2713,M,2,15
2714,M,3,1
2715,F,5,7
2716,M,6,11
2717,F,1,1
2718,F,3,11
2719,M,5,1
2720,F,4,4
2722,M,2,15
2723,M,1,1
2724,M,3,1
2725,M,5,7
2726,F,3,1
2727,M,3,1
2728,M,5,7
2729,F,4,15
2730,F,6,1
2731,F,2,4
2732,M,4,7
2737,F,3,1
2738,M,1,8
2739,M,4,7
2740,M,2,1
2741,M,4,8
2745,F,2,1
2746,M,5,8
2747,M,6,1
2748,F,1,8
2749,F,2,8
2750,M,3,1
2751,M,1,3
2752,M,4,1
2753,M,5,1
2754,F,1,8
2755,M,4,1
2756,M,2,1
2757,F,4,16
2758,M,1,8
2759,M,3,8
2760,M,1,3
2761,M,3,1
2762,M,5,1
2763,F,3,1
2765,M,2,1
2766,M,1,8
2767,F,4,3
2768,F,1,1
2769,F,5,8
2770,M,3,8
2771,M,4,16
2772,F,3,1
2773,M,4,1
2774,F,3,16
2775,F,5,8
2776,M,3,1
2778,F,5,1
2779,F,3,16
2780,F,3,1
2781,M,4,8
2782,F,4,7
2783,F,4,1
2784,M,5,1
2785,F,3,16
2786,M,1,4
2787,F,1,1
2788,F,3,8
2789,F,4,7
2790,M,3,1
2791,F,3,1
2792,F,3,8
2793,M,3,4
2796,M,6,8
2799,F,4,14
2800,F,1,1
2801,M,2,1
2802,F,3,7
2803,F,4,3
2804,M,5,8
2805,F,6,1
2806,M,4,16
2807,M,5,14
2808,M,4,15
2809,M,2,1
2811,F,3,1
2812,F,1,1
2813,F,2,8
2814,F,6,1
2817,F,6,1
2818,F,2,8
2819,F,4,1
2820,F,1,3
2821,F,2,1
2822,F,2,8
2824,M,5,1
2826,M,3,16
2827,M,6,14
2828,F,3,1
2829,F,6,1
2830,F,2,8
2831,M,4,8
2832,M,2,14
2833,F,2,3
2834,F,5,16
2836,F,6,1
2837,F,4,1
2843,M,1,8
2844,M,2,14
2845,M,5,8
2846,M,2,3
2847,M,3,8
2848,M,2,3
2849,M,1,8
2850,F,1,16
2853,F,2,1
2854,F,6,8
2855,F,4,1
2856,M,3,1
2857,M,4,15
2858,F,4,16
2860,F,1,14
2861,F,3,8
2863,M,5,15
2865,M,2,8
2867,F,4,1
2868,M,4,7
2869,F,2,15
2872,F,3,1
2873,F,1,8
2874,M,1,8
2875,F,5,1
2876,M,4,1
2877,F,4,1
2878,F,3,7
2879,M,3,8
2880,F,3,1
2881,F,3,1
2882,M,1,9
2883,F,6,1
2884,F,3,7
2886,M,2,15
2887,M,4,1
2888,F,2,1
2889,M,4,1
2890,M,1,8
2891,F,1,1
2892,M,1,7
2893,F,4,1
2894,F,1,1
2895,F,3,8
2897,M,2,12
2900,F,2,1
2901,M,4,1
2902,M,3,15
2903,M,4,15
2904,F,1,1
2905,F,4,1
2906,F,2,12
2907,F,2,9
2908,F,3,1
2909,M,2,1
2911,M,4,8
2912,M,3,4
2913,M,3,1
2914,M,4,1
2915,F,5,1
2916,M,1,7
2917,F,3,16
2918,M,5,1
2920,M,3,1
2921,M,2,12
2922,F,3,4
2923,M,5,8
2924,F,3,16
2925,F,1,1
2926,F,2,1
2927,M,3,1
2929,M,4,1
2930,M,1,12
2931,M,2,1
2932,F,4,1
2934,F,6,15
2935,M,2,1
2936,M,5,1
2938,M,4,1
2940,M,1,12
2941,M,4,16
2942,M,4,1
2943,M,2,7
2944,F,2,1
2945,F,1,1
2946,M,3,12
2947,F,3,1
2948,M,6,4
2949,M,6,15
2950,M,1,16
2951,M,6,15
2953,M,3,15
2955,M,1,12
2956,F,5,1
2957,F,2,1
2958,M,4,1
2959,M,4,1
2960,M,3,12
2961,M,1,16
2962,M,2,1
2963,F,2,1
2964,M,2,12
2965,M,6,1
2966,F,2,6
2968,M,3,1
2969,M,1,16
2970,F,5,1
2971,M,5,6
2972,M,3,1
2973,F,3,1
2974,F,3,6
2975,M,4,1
2976,M,4,1
2977,F,3,6
2978,M,4,1
2979,F,6,1
2980,F,2,6
2982,M,3,6
2983,F,1,1
2984,F,1,1
2985,M,1,6
2986,F,1,6
2987,F,1,6
2988,M,4,6
2990,M,1,10
2991,M,1,10
2992,F,1,16
2993,F,1,1
2994,F,1,16
2995,F,2,14
2996,M,4,1
2997,M,6,1
2998,M,5,14
2999,F,5,1
3001,F,2,1
3002,F,1,1
3003,F,6,1
3004,F,5,7
3005,M,3,8
3006,M,1,1
3007,F,2,1
3008,M,4,12
3009,M,4,7
3010,F,6,14
3011,F,3,1
3012,F,5,4
3013,F,5,1
3014,F,5,7
3015,M,4,14
3016,M,2,12
3017,F,4,1
3018,F,6,1
3019,F,1,10
3021,M,2,1
3022,F,2,8
3023,F,1,10
3024,F,1,1
3025,F,3,12
3026,F,2,10
3027,F,1,1
3028,M,3,4
3029,M,2,10
3030,F,4,14
3031,F,1,1
3033,F,3,10
3034,F,3,1
3035,M,6,1
3036,F,1,1
3037,M,4,12
3038,M,3,1
3039,F,3,10
3040,M,4,14
3041,M,2,1
3042,F,2,1
3043,F,6,1
3044,M,3,10
3045,M,4,1
3046,F,5,1
3048,M,3,10
3049,M,2,8
3050,F,5,14
3051,M,5,4
3052,M,3,12
3054,F,5,10
3056,M,2,4
3057,M,4,16
3058,F,5,1
3059,F,5,14
3061,F,6,10
3062,F,3,12
3063,M,2,3
3064,F,4,10
3065,M,4,10
3066,M,3,1
3069,M,3,14
3070,M,4,1
3071,M,2,4
3072,M,4,10
3073,F,2,3
3074,M,6,6
3075,F,3,4
3076,F,3,14
3077,F,4,12
3078,M,1,1
3080,F,5,4
3082,M,1,3
3083,F,3,14
3084,F,2,12
3085,M,4,4
3086,M,4,3
3087,M,3,14
3089,M,5,1
3090,M,1,1
3091,F,2,12
3092,M,1,1
3093,M,1,1
3094,F,2,1
3095,F,1,12
3096,F,5,1
3097,M,1,3
3098,M,5,1
3099,M,1,12
3100,F,5,4
3101,F,3,3
3102,M,6,1
3103,F,1,1
3104,F,2,1
3105,F,3,3
3106,M,6,1
3107,M,1,12
3108,M,4,7
3109,F,3,1
3110,F,4,1
3111,M,1,1
3112,M,6,1
3113,F,4,1
3114,F,4,8
3115,M,6,7
3116,M,2,3
3117,M,5,1
3118,M,1,12
3119,M,4,1
3120,F,3,3
3121,F,1,1
3122,F,5,3
3123,F,5,1
3124,M,5,1
3125,M,5,1
3126,M,3,1
3127,M,6,3
3128,M,2,1
3129,M,4,14
3130,M,4,1
3131,M,3,1
3133,M,2,1
3134,F,4,3
3135,M,3,1
3136,F,4,5
3137,F,6,1
3140,M,5,1
3141,M,5,3
3142,M,1,1
3143,F,1,7
3144,M,6,7
3145,F,1,1
3146,M,5,1
3147,M,4,1
3148,M,4,7
3150,F,4,3
3151,F,4,14
3152,F,4,1
3153,F,2,8
3154,F,2,1
3155,M,4,1
3156,M,2,7
3157,M,5,1
3158,M,3,3
3159,F,2,1
3160,M,1,7
3161,M,3,1
3162,M,3,1
3163,M,2,3
3164,M,4,1
3165,F,1,14
3166,M,2,3
3168,F,4,8
3169,F,1,1
3170,M,2,7
3171,M,3,1
3172,M,1,1
3173,M,5,3
3174,F,6,1
3175,M,2,1
3176,M,1,1
3178,F,3,1
3179,M,5,1
3181,M,4,16
3182,M,3,7
3183,F,2,1
3184,F,6,1
3186,M,2,1
3187,F,5,15
3188,F,6,1
3190,F,1,7
3191,M,4,1
3192,F,6,1
3193,M,1,3
3194,F,4,1
3195,M,3,1
3196,F,3,1
3197,M,6,1
3198,M,5,3
3199,F,2,1
3200,M,2,1
3201,F,2,1
3202,F,2,1
3203,F,1,1
3205,F,4,1
3206,F,4,15
3207,F,4,3
3208,F,5,1
3209,F,3,1
3210,F,1,1
3212,F,2,1
3213,F,2,14
3214,M,6,1
3215,M,1,1
3217,M,1,3
3218,F,1,7
3219,F,1,15
3220,F,6,1
3221,M,4,1
3222,F,5,1
3223,M,3,1
3224,F,3,15
3225,M,3,1
3226,F,6,1
3227,F,2,15
3228,F,3,1
3229,F,1,1
3230,M,1,1
3231,M,5,1
3232,M,1,7
3234,F,2,15
3235,F,2,7
3236,F,6,1
3238,F,2,1
3239,F,3,15
3240,F,4,7
3241,M,2,12
3242,F,3,15
3243,F,3,1
3244,M,2,1
3245,M,4,7
3246,M,5,1
3247,M,3,1
3248,F,2,12
3249,F,3,1
3250,M,3,7
3251,F,6,1
3252,M,1,1
3253,F,2,1
3254,F,2,7
3255,M,1,8
3256,M,2,1
3257,F,3,7
3258,F,2,1
3259,M,2,1
3260,F,6,1
3261,M,1,1
3262,M,2,12
3263,F,5,7
3265,F,6,1
3266,F,1,1
3267,M,2,1
3268,M,5,7
3269,M,3,1
3270,F,6,1
3271,M,2,1
3272,F,2,12
3273,F,5,7
3274,M,4,2
3275,F,3,1
3276,M,3,8
3277,M,5,1
3279,F,1,1
3280,M,3,1
3281,M,3,16
3282,M,4,2
3284,M,4,2
3285,M,1,1
3286,F,2,1
3287,M,5,2
3288,M,3,12
3289,F,6,1
3290,M,5,2
3291,M,1,1
3292,M,1,1
3293,M,5,2
3295,F,6,6
3296,M,5,2
3297,M,2,1
3298,F,2,1
3299,M,6,2
3300,M,2,1
3301,M,4,1
3303,M,5,11
3305,M,4,11
3308,M,3,11
3309,F,2,11
3310,F,4,1
3311,F,3,7
3312,M,3,11
3313,F,6,1
3314,F,1,16
3315,F,5,1
3316,F,1,16
3317,F,2,7
3318,F,1,16
3319,F,4,7
3321,M,6,1
3322,F,1,7
3323,F,5,1
3324,M,3,15
3325,M,3,7
3326,M,4,7
3327,F,6,8
3328,F,4,1
3329,M,3,1
3330,M,1,7
3331,M,3,7
3332,F,5,4
3333,F,5,4
3334,M,1,15
3335,M,3,7
3336,M,4,1
3338,F,5,1
3339,M,1,7
3341,F,2,7
3342,M,2,3
3343,M,3,15
3344,M,2,7
3345,M,2,7
3346,F,1,7
3347,F,1,15
3348,M,5,14
3349,F,4,7
3350,F,2,8
3351,M,2,15
3352,F,3,7
3353,F,6,8
3354,M,4,14
3355,F,6,3
3356,F,5,15
3358,M,1,15
3360,M,3,8
3361,F,3,1
3362,M,2,1
3364,M,6,15
3365,F,1,7
3366,M,6,15
3367,F,2,15
3368,F,6,7
3369,F,3,8
3370,F,3,1
3373,M,4,14
3374,F,4,7
3375,M,5,14
3376,F,6,8
3377,M,1,3
3378,F,6,16
3379,M,1,14
3380,M,1,1
3381,F,6,16
3382,F,3,8
3383,F,6,14
3384,M,3,7
3387,F,6,16
3388,M,2,1
3389,M,1,14
3390,F,6,16
3391,M,1,1
3393,M,1,14
3395,M,2,7
3396,M,1,7
3397,M,3,1
3399,M,1,7
3400,M,1,14
3401,F,6,8
3402,M,2,7
3403,M,4,1
3404,F,1,14
3405,M,1,1
3406,F,5,8
3407,M,3,7
3409,F,1,14
3410,M,6,16
3411,F,3,7
3412,M,2,1
3413,M,1,14
3414,F,5,8
3415,M,3,14
3416,M,6,16
3417,M,2,1
3418,M,5,7
3419,M,4,1
3420,F,1,1
3421,M,6,16
3422,F,2,1
3423,M,3,14
3424,F,2,1
3425,F,1,1
3426,F,6,7
3427,M,4,14
3429,F,4,6
3430,F,5,1
3431,M,4,14
3432,F,4,6
3433,F,3,3
3434,M,5,1
3436,M,5,2
3438,M,3,1
3439,M,4,6
3444,M,5,11
3445,M,5,1
3448,M,3,1
3449,M,5,8
3450,F,5,7
3451,M,2,8
3452,M,3,1
3453,F,5,1
3454,F,1,1
3455,M,3,1
3456,M,6,16
3457,M,2,8
3458,M,4,4
3459,M,6,7
3460,F,2,8
3461,M,3,1
3462,M,2,8
3463,F,6,16
3464,F,6,7
3465,M,4,3
3466,F,2,8
3467,F,4,1
3468,M,3,1
3469,F,3,8
3470,F,4,3
3471,M,4,7
3472,M,2,8
3474,F,1,15
3475,F,5,8
3476,F,5,7
3478,M,6,15
3480,M,1,16
3481,M,5,15
3482,M,3,1
3483,F,2,15
3484,F,3,16
3485,F,3,15
3486,M,4,15
3487,F,1,5
3488,M,4,8
3489,F,3,14
3490,F,3,8
3491,M,5,8
3492,F,1,8
3493,F,5,4
3494,F,3,8
3495,F,3,16
3496,F,5,8
3497,F,4,8
3498,F,6,4
3499,M,3,8
3501,F,4,14
3502,F,2,16
3503,M,6,8
3504,M,6,14
3506,F,1,15
3507,M,1,8
3509,F,2,16
3510,M,4,8
3511,F,3,15
3513,M,2,14
3517,F,4,3
3518,M,1,14
3519,M,2,16
3520,M,2,8
3522,M,4,3
3523,F,5,1
3524,M,1,15
3525,F,6,3
3526,M,1,14
3527,M,5,16
3529,F,1,15
3531,F,2,1
3532,M,2,16
3533,F,6,3
3534,M,4,15
3535,F,2,8
3536,F,4,1
3537,F,5,14
3538,F,1,14
3539,F,1,14
3540,F,4,16
3541,F,4,1
3543,M,2,3
3544,M,5,15
3545,F,1,16
3546,F,4,8
3547,M,4,4
3548,F,4,14
3549,M,1,14
3550,F,4,15
3551,M,5,16
3552,F,2,1
3553,F,6,14
3554,F,3,1
3555,M,3,3
3556,F,5,15
3557,F,2,14
3558,M,1,16
3559,F,5,14
3560,F,6,15
3561,M,3,1
3562,F,4,8
3563,F,5,14
3564,F,4,15
3565,F,5,15
3566,F,3,1
3568,F,2,14
3569,M,2,14
3571,F,3,16
3573,F,1,3
3574,M,4,14
3576,F,4,1
3577,F,5,3
3578,F,5,8
3579,M,6,3
3580,M,1,14
3581,M,3,1
3582,M,4,14
3583,F,1,16
3584,F,3,3
3585,M,5,14
3587,M,5,1
3589,F,4,14
3590,M,2,14
3591,F,3,14
3593,M,4,16
3594,M,5,14
3595,M,5,8
3596,M,2,16
3597,M,3,14
3598,M,3,14
3599,F,4,12
3600,M,5,8
3601,F,4,14
3602,M,3,14
3604,M,4,3
3605,F,4,16
3606,F,5,16
3607,M,4,14
3608,F,4,14
3609,M,3,14
3610,M,5,3
3611,F,4,8
3612,F,5,8
3613,F,4,14
3614,M,4,16
3615,F,4,12
3616,F,4,1
3617,M,5,3
3618,F,5,14
3619,M,2,14
3620,F,6,12
3621,F,6,8
3623,F,4,1
3624,F,3,14
3625,M,6,8
3626,F,2,14
3627,F,6,12
3628,M,1,14
3629,F,1,1
3630,F,2,3
3631,F,1,16
3632,F,3,14
3633,F,2,8
3634,M,6,14
3635,F,3,16
3636,F,5,16
3637,F,1,16
3638,F,4,12
3640,F,6,14
3641,M,2,14
3642,M,4,14
3643,F,5,14
3644,F,1,8
3645,M,4,16
3646,M,6,14
3647,M,4,8
3648,M,5,8
3649,M,6,12
3650,F,3,14
3651,F,3,14
3652,M,2,8
3653,M,3,16
3654,M,5,12
3655,F,4,16
3657,M,4,16
3658,F,3,14
3659,M,6,8
3660,F,4,14
3661,F,5,15
3662,F,1,8
3663,F,3,8
3664,M,1,1
3665,F,1,8
3666,M,2,15
3668,F,3,14
3669,M,5,8
3670,M,6,8
3671,M,4,16
3672,F,4,6
3673,F,5,15
3674,F,2,1
3675,M,6,8
3676,F,3,16
3677,M,5,15
3678,M,1,1
3679,F,5,1
3681,M,2,14
3682,F,2,8
3683,M,1,1
3684,F,4,16
3685,M,4,15
3686,M,3,8
3687,M,4,1
3688,F,2,14
3689,F,3,15
3690,M,3,16
3691,F,5,1
3692,F,2,7
3693,F,4,16
3694,M,4,1
3695,F,5,14
3697,F,2,3
3698,F,3,8
3699,M,4,1
3700,F,5,14
3701,F,6,1
3702,M,4,1
3703,F,3,12
3704,M,2,14
3706,F,3,16
3707,M,1,1
3708,M,2,8
3709,F,1,1
3710,M,5,1
3711,F,2,14
3713,F,3,12
3714,F,6,14
3715,F,1,1
3716,F,3,12
3717,F,1,1
3718,M,4,1
3720,F,1,3
3723,F,2,3
3724,F,1,3
3725,F,6,6
3727,M,2,8
3728,F,4,6
3729,F,3,8
3730,F,3,6
3731,M,1,8
3732,F,4,14
3734,M,5,15
3735,F,6,14
3736,M,1,8
3737,M,4,16
3738,F,5,14
3739,M,4,15
3740,F,1,8
3741,F,1,8
3742,M,1,16
3743,F,5,14
3745,M,4,8
3746,F,5,15
3748,M,5,14
3749,M,6,16
3750,F,2,14
3751,M,6,16
3752,F,5,16
3753,M,3,4
3754,F,3,16
3755,M,3,14
3756,F,3,3
3757,F,6,16
3758,M,5,14
3759,F,5,16
3760,M,1,5
3761,M,5,15
3762,F,4,3
3763,F,5,16
3764,F,5,7
3765,F,6,16
3766,F,2,8
3767,M,1,14
3768,F,4,14
3769,M,4,3
3770,M,1,14
3771,F,4,16
3772,M,3,14
3775,F,3,3
3776,M,1,14
3777,M,4,14
3778,F,2,5
3780,F,1,3
3781,F,5,3
3782,M,1,14
3783,M,4,14
3784,M,5,14
3785,M,4,3
3786,M,2,15
3788,M,6,14
3791,F,4,3
3792,M,2,3
3794,F,6,3
3796,F,6,3
3798,M,3,14
3799,F,6,3
3800,M,2,14
3801,F,6,3
3802,M,4,14
3804,F,5,3
3806,F,5,3
3807,M,6,3
3808,M,1,14
3810,F,3,14
3811,F,5,3
3812,M,2,3
3813,F,4,14
3814,F,1,3
3815,F,6,14
3816,M,1,14
3817,F,4,14
3818,F,1,14
3819,M,6,14
3820,F,6,3
3821,F,5,14
3822,M,5,14
3823,M,5,15
3824,M,3,3
3825,F,4,14
3826,F,3,14
3827,F,3,14
3828,M,5,15
3830,F,5,15
3831,F,4,14
3832,F,4,14
3833,M,2,14
3834,F,2,14
3835,F,2,3
3836,M,2,15
3837,F,3,14
3838,F,4,14
3839,F,2,15
3840,F,3,4
3842,F,1,14
3843,M,2,15
3844,F,1,3
3845,M,3,14
3849,F,1,15
3850,F,1,15
3851,M,5,15
3852,F,1,15
3853,M,6,3
3854,M,1,14
3855,M,2,14
3856,F,1,14
3857,M,5,14
3858,F,4,14
3859,F,6,14
3860,F,5,14
3861,M,4,11
3862,F,5,14
3863,M,1,1
3864,M,1,8
3865,M,4,14
3866,F,3,14
3867,F,6,14
3869,F,2,13
